,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
88,Santa Barbara,2018,190.07999999999984,23.7,463.9051094890511,11.246958637469593,106.3,18.5,59.69343065693427,100.0,4.0,64.03000811030009,46.12968369829692,4.024493106244926,96.56098945660987,67.43738848337381
89,Santa Barbara,2019,167.79000000000013,40.560000000000045,434.1883445945946,11.09383445945946,104.3,19.6,58.83707770270264,100.0,2.0,65.21621621621621,45.721959459459505,4.078293918918911,97.87989864864862,66.71951013513517
90,Santa Barbara,2020,134.73999999999978,20.450000000000003,485.2252358490566,11.699174528301887,106.7,18.7,60.10683962264148,100.0,1.0,66.30542452830188,47.4209905660377,3.938915094339623,94.52617924528298,66.77479191438766
91,Santa Clara,2018,52.19999999999999,9.009999999999993,414.29639889196676,11.842936288088653,98.5,22.1,58.732963988919664,100.0,11.0,69.09141274238227,48.03850415512463,4.927977839335184,118.24155124653743,60.06980609418284
92,Santa Clara,2019,46.690000000000005,16.789999999999992,456.6623376623377,12.408441558441552,102.9,25.6,59.2311688311688,100.0,10.0,71.69155844155844,49.33474025974026,5.12077922077922,122.91720779220776,61.84285714285709
93,Santa Clara,2020,36.66999999999999,2.8499999999999996,495.6214953271028,11.972429906542056,104.2,24.1,59.15420560747661,100.0,10.0,69.3644859813084,48.42009345794391,5.268224299065423,126.39112149532707,64.80887850467292
94,Santa Cruz,2018,86.24,35.30000000000001,408.31448275862067,11.750896551724143,99.9,30.4,55.890482758620735,100.0,11.0,76.27448275862069,48.051448275862064,3.8071724137931025,91.36910344827591,64.491724137931
95,Santa Cruz,2019,83.30999999999997,55.99999999999999,405.15202231520226,12.125244072524408,95.6,31.2,55.97391910739196,100.0,9.0,78.63040446304045,48.8747559274756,3.983124128312411,95.59748953974902,64.15299860529987
96,Santa Cruz,2020,59.880000000000024,20.890000000000004,451.61206896551727,12.065301724137923,99.5,33.6,55.79267241379318,100.0,13.0,78.66163793103448,48.92133620689662,3.3571120689655167,80.60387931034478,64.17823275862067
97,Shasta,2018,102.29000000000009,30.349999999999987,458.6175115207373,9.31566820276497,108.6,10.0,58.39631336405533,100.0,5.0,55.99231950844854,40.98448540706598,3.8731182795698906,92.99370199692781,59.14454685099844
