,Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
400,Center Fire,Lassen,18,40.4,-120.55,2015-09-09 14:12:00+00:00,2015,40,TRUE,FALSE
1335,Coldwell Fire,Fresno,10,36.1,-120.55,2018-06-02 09:55:00+00:00,2018,13,TRUE,FALSE
495,Washington Fire,Santa Barbara,42,34.75,-120.55,2016-09-22 14:20:00+00:00,2016,215,FALSE,FALSE
355,Mark Fire,Calaveras,5,38.05,-120.56,2015-08-13 16:15:00+00:00,2015,114,TRUE,TRUE
680,Park Fire,Fresno,10,35.96,-120.56,2017-07-17 13:15:00+00:00,2017,1649,TRUE,TRUE
835,Linne Fire,San Luis Obispo,40,35.6,-120.56,2017-09-26 16:45:00+00:00,2017,74,TRUE,FALSE
883,Zenon Fire,San Luis Obispo,40,35.06,-120.56,2017-07-20 14:43:00+00:00,2017,47,TRUE,FALSE
1002,Centerville Fire,Modoc,25,41.46,-120.57,2017-07-17 13:38:00+00:00,2017,15,TRUE,FALSE
732,West Fire,Modoc,25,41.17,-120.58,2017-04-03 16:00:00+00:00,2017,380,TRUE,FALSE
1409,R-1 Fire,Lassen,18,40.59,-120.58,2019-08-28 19:48:14+00:00,2019,3380,FALSE,FALSE
843,Manning Fire,Fresno,10,36.61,-120.58,2017-05-19 23:28:00+00:00,2017,70,TRUE,FALSE
675,Parkfield Fire,Monterey,27,35.87,-120.58,2017-07-08 18:30:00+00:00,2017,1816,TRUE,FALSE
676,Parkfield Fire,San Luis Obispo,40,35.87,-120.58,2017-07-08 18:30:00+00:00,2017,1816,TRUE,FALSE
1360,Ranchita Fire,Monterey,27,35.77,-120.58,2018-06-19 16:06:00+00:00,2018,10,TRUE,FALSE
1252,Kelley Fire,Modoc,25,41.5,-120.61,2018-07-14 20:46:00+00:00,2018,52,FALSE,FALSE
1454,R-6 Fire,Lassen,18,40.54,-120.61,2019-09-06 13:20:00+00:00,2019,260,FALSE,FALSE
486,Appaloosa Fire,Calaveras,5,38.03,-120.61,2016-07-02 14:55:00+00:00,2016,310,TRUE,FALSE
797,Maria Fire,Calaveras,5,38.29,-120.62,2017-07-17 12:55:00+00:00,2017,117,TRUE,TRUE
356,Tulloch Fire,Tuolumne,55,37.84,-120.62,2015-08-15 16:11:00+00:00,2015,112,TRUE,FALSE
1124,Tulloch Fire,Tuolumne,55,37.83,-120.62,2018-09-08 13:34:00+00:00,2018,573,TRUE,FALSE
683,Derrick Fire,Fresno,10,36.27,-120.62,2017-07-02 22:28:00+00:00,2017,1538,TRUE,TRUE
510,Frame Fire,Fresno,10,36.14,-120.62,2016-07-04 17:15:00+00:00,2016,145,TRUE,FALSE
1241,Creston FIre,San Luis Obispo,40,35.58,-120.62,2018-06-14 17:23:00+00:00,2018,60,TRUE,FALSE
162,King Fire,El Dorado,9,38.81,-120.63,2014-09-13 16:32:00+00:00,2014,97717,TRUE,TRUE
1520,Tulloch Fire,Tuolumne,55,37.84,-120.63,2019-09-23 15:55:57+00:00,2019,83,TRUE,FALSE
1589,Frame Fire,Fresno,10,36.15,-120.63,2019-09-30 17:39:00+00:00,2019,25,TRUE,FALSE
299,Cuesta Fire,San Luis Obispo,40,35.35,-120.63,2015-08-16 18:13:00+00:00,2015,2446,TRUE,TRUE
859,Tower Fire,San Luis Obispo,40,35.35,-120.63,2017-07-07 16:23:00+00:00,2017,58,TRUE,FALSE
