Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
Interstate Fire,Riverside,33,33.95,-117.4,2014-09-01 14:03:00+00:00,2014,100,True,False
Irene Fire,El Dorado,9,38.59,-120.03,2014-09-14 09:15:00+00:00,2014,94,False,False
Valley Fire,Mariposa,22,37.49,-119.97,2014-06-06 17:29:00+00:00,2014,90,True,True
Oak Fire,Calaveras,5,38.06,-120.66,2014-06-22 12:37:00+00:00,2014,85,True,True
Boca Fire,Nevada,29,39.39,-120.08,2014-08-18 10:00:00+00:00,2014,84,True,False
Casa Fire,Santa Clara,43,37.33,-121.89,2014-08-28 15:10:00+00:00,2014,80,True,False
Marsh Fire,Contra Costa,7,37.54,-121.51,2014-07-11 21:57:00+00:00,2014,80,True,True
Montgomery Fire,Mariposa,22,37.49,-119.97,2014-09-07 16:46:00+00:00,2014,79,False,False
Sabina Fire,Riverside,33,33.95,-117.4,2014-07-23 10:47:00+00:00,2014,78,True,False
Cassel Fire,Shasta,45,40.57,-121.34,2014-07-05 18:44:00+00:00,2014,75,True,True
San Lucas Fire,Monterey,27,36.1,-121.12,2014-04-30 14:25:00+00:00,2014,75,True,False
Wildlife Fire,Butte,4,39.47,-121.61,2014-07-14 18:00:00+00:00,2014,72,True,False
Jackson Fire,Tuolumne,55,37.83,-120.34,2014-09-04 11:51:00+00:00,2014,70,True,False
Ranch Fire,Kern,15,35.49,-118.86,2014-07-01 18:15:00+00:00,2014,70,False,False
Norman Fire,Solano,48,38.45,-122.0,2014-06-12 14:29:00+00:00,2014,70,True,False
June Fire,Inyo,14,36.31,-117.55,2014-09-16 19:07:00+00:00,2014,65,False,False
Nelson Fire,Mendocino,23,39.55,-123.44,2014-09-21 16:13:00+00:00,2014,62,True,True
Honcut Fire,Butte,4,39.63,-121.54,2014-01-01 10:46:00+00:00,2014,60,True,False
Van Buren Fire,Riverside,33,33.6,-116.2,2014-03-28 14:31:00+00:00,2014,57,True,False
Freeway Fire ,San Diego,37,32.72,-117.16,2014-05-14 17:43:00+00:00,2014,56,True,False
Fiddler Fire,Shasta,45,40.39,-122.72,2014-05-14 14:00:00+00:00,2014,50,True,False
Bane Fire,San Bernardino,36,33.94,-117.71,2014-10-16 14:34:00+00:00,2014,48,True,False
Interlake Fire,San Luis Obispo,40,35.82,-121.02,2014-07-07 16:12:00+00:00,2014,47,True,False
Morgan Fire,Fresno,10,36.99,-119.53,2014-06-09 15:15:00+00:00,2014,40,True,True
Hutto Fire,Nevada,29,39.19,-121.27,2014-07-07 16:35:00+00:00,2014,38,True,False
McClellan Fire,Humboldt,12,40.75,-123.87,2014-08-01 15:47:00+00:00,2014,37,True,False
Lake Fire,Stanislaus,50,37.51,-120.99,2014-05-27 11:23:00+00:00,2014,37,True,False
Bogart Fire,Riverside,33,33.98,-116.96,2014-06-06 17:32:00+00:00,2014,31,True,True
Siskiyou County Lightning Fires,Siskiyou,47,41.77,-122.58,2014-07-29 13:00:00+00:00,2014,30,True,True
Bible Fire,El Dorado,9,38.61,-120.7,2014-07-09 14:34:00+00:00,2014,30,True,False
Jacumba Fire,San Diego,37,32.66,-116.22,2014-05-05 16:36:00+00:00,2014,29,True,False
Stage Coach Fire,Napa,28,38.7,-122.38,2014-09-11 15:14:00+00:00,2014,27,True,False
Foothill Fire ,Ventura,56,34.37,-119.14,2014-09-29 19:35:00+00:00,2014,25,True,False
Leopard Fire,Shasta,45,40.0,-121.85,2014-08-29 12:21:00+00:00,2014,25,True,False
Hall Fire,Fresno,10,36.74,-119.24,2014-06-11 07:30:00+00:00,2014,25,True,False
